B,D,BN,ms_quantize_fwd,ms_quantize_fwd_mm,ms_cdist_compiled,ms_faiss_search,speedup_fwd_vs_mm,speedup_fwd_vs_cdist,speedup_mm_vs_cdist,speedup_fwd_vs_faiss,speedup_mm_vs_faiss
32,64,16384,0.035164258045236964,0.019612564205449854,0.020503454037349333,0.03682339309077514,0.5577414481550933,0.5830765435452305,1.045424444379992,1.0471824272078707,1.877540983679371
32,128,16384,0.05842967387853247,0.027342994223747936,0.02317056038549968,0.03902042221058818,0.46796417656874806,0.3965546758598755,0.8474039161876276,0.6678185863523122,1.4270720277115139
32,256,16384,0.1018803089179776,0.03088628836622128,0.027376367764055044,0.041111857007593795,0.3031624922838367,0.2687110792537484,0.8863599095964909,0.40353094179064936,1.3310714618774229
256,64,131072,0.03551663242672619,0.019640225254125513,0.023418514760477203,0.039033034334287925,0.5529866969973845,0.6593675458615502,1.1923750597289124,1.0990071881059211,1.9874025796159782
256,128,131072,0.05847292237661102,0.027032502687403134,0.025203199971999442,0.04165074476123561,0.4623080494129031,0.4310234369623476,0.9323295095331248,0.7123082457376164,1.540765397968292
256,256,131072,0.10206669859297864,0.033157919119031445,0.031081432971909555,0.045232284439386,0.3248652065377222,0.3045208025769113,0.9373758606603856,0.4431639806413569,1.3641472577639622
1024,64,524288,0.03594716378422671,0.020705626677658597,0.032136557840330655,0.05400520215736576,0.5760016785175146,0.8939942531552904,1.5520688332996002,1.5023494616023854,2.6082379924118624
1024,128,524288,0.05923704385305896,0.029484322455165714,0.03955557504120995,0.060710757970809937,0.49773453463179806,0.6677506585124322,1.341579922732114,1.0248782522201245,2.059086080852887
1024,256,524288,0.10353163416896548,0.04050844323913953,0.054062843053455815,0.07170568349634766,0.3912663367510362,0.5221867063860336,1.3346067814627822,0.6925968480254325,1.770141673256531
4096,64,2097152,0.03927773975712411,0.03492279134170954,0.06809521057171586,0.13239384385255668,0.8891242611631011,1.7336845498948268,1.949878802797396,3.3707093297939417,3.7910441509992925
4096,128,2097152,0.06778640551435436,0.06614243906990784,0.09160882172485192,0.15200937379683768,0.9757478445423929,1.351433536410969,1.385023337709514,2.2424757979628875,2.2982124024210027
4096,256,2097152,0.16185736043233398,0.10792581746717553,0.1350895320511844,0.19481746772773392,0.6667958576545239,0.8346208766184586,1.2516887545676494,1.2036367528011136,1.8051053241916426
16384,64,8388608,0.1024182831215394,0.08553841424250752,0.19915223599814658,0.41946486995951965,0.8351869572056719,1.944498871962278,2.3282198736293584,4.09560536629717,4.90381863720675
16384,128,8388608,0.20402213415705173,0.2004088854348218,0.27100615911796444,0.49904749241281066,0.9822899180171867,1.3283174408387959,1.352266185852836,2.4460458394610014,2.490146538812591
16384,256,8388608,0.6069451147733733,0.3488822898694447,0.4226845797983188,0.7028014192098304,0.5748168679135238,0.6964131838447116,1.2115392270455794,1.1579324095429102,2.0144370740997655
32768,64,16777216,0.17640748094740533,0.15527177943537632,0.40149577061335245,0.8084746657146348,0.8801881791037509,2.2759566003499345,2.585761379648862,4.582995354690632,5.206835837487904
32768,128,16777216,0.36661963652480734,0.37051985318010505,0.5137106414805067,0.9545339080003592,1.0106383190280475,1.401208746890857,1.3864591521113403,2.60360824381476,2.576201787320617
32768,256,16777216,1.0588128759014992,0.6436563943113599,0.7962162164417473,1.387157966108883,0.607903822253139,0.751989548449559,1.2370205958935736,1.3101068164927847,2.1551218606209708
65536,64,33554432,0.31818234483743535,0.29256452644864717,0.7879876248041788,1.5762838306634321,0.9194869897577858,2.476528435940639,2.693380617155893,4.954026696449112,5.3878159795976215
65536,128,33554432,0.656419087605304,0.7117439953586723,1.0056160055100918,1.8711887925863266,1.0842829052323877,1.5319725225826388,1.4128900448304131,2.85060082486731,2.629019429441579
65536,256,33554432,2.020541460890519,1.2571566885167902,1.5924110068215265,2.7363453733509986,0.6221880188307148,0.7881110274865128,1.266676637341264,1.3542634122167438,2.176614417554724
